名称,化学式,分子量,类型,描述
水,H2O,18.015,无机化合物,生命之源，最常见的溶剂
二氧化碳,CO2,44.01,无机化合物,温室气体，光合作用原料
甲烷,CH4,16.04,有机化合物,天然气主要成分
乙醇,C2H5OH,46.07,有机化合物,酒类饮品的主要成分
氨,NH3,17.03,无机化合物,刺激性气体，化肥原料
硫酸,H2SO4,98.08,无机化合物,强酸，工业重要原料
氢氧化钠,NaOH,40.00,无机化合物,强碱，用于制皂
葡萄糖,C6H12O6,180.16,有机化合物,生物主要能量来源
氯化钠,NaCl,58.44,无机化合物,食盐的主要成分
苯,C6H6,78.11,有机化合物,芳香烃，工业溶剂
氧气,O2,32.00,无机化合物,生命呼吸必需
氮气,N2,28.02,无机化合物,空气主要成分
盐酸,HCl,36.46,无机化合物,胃酸成分，强酸
乙酸,CH3COOH,60.05,有机化合物,食醋的主要成分
碳酸钙,CaCO3,100.09,无机化合物,大理石、石灰石主要成分
甲醇,CH3OH,32.04,有机化合物,工业溶剂，有毒
甲醛,HCHO,30.03,有机化合物,防腐剂，室内污染物
乙炔,C2H2,26.04,有机化合物,焊接燃料
苯酚,C6H5OH,94.11,有机化合物,消毒剂，塑料原料
丙酮,CH3COCH3,58.08,有机化合物,常用溶剂
尿素,CO(NH2)2,60.06,有机化合物,化肥，皮肤保湿成分
过氧化氢,H2O2,34.01,无机化合物,消毒剂，漂白剂
碳酸钠,Na2CO3,105.99,无机化合物,纯碱，玻璃制造
碳酸氢钠,NaHCO3,84.01,无机化合物,小苏打，发酵剂
硝酸,HNO3,63.01,无机化合物,强酸，化肥原料
磷酸,H3PO4,98.00,无机化合物,食品添加剂，化肥
氢氧化钙,Ca(OH)2,74.10,无机化合物,熟石灰，建筑
氧化钙,CaO,56.08,无机化合物,生石灰，干燥剂
二氧化硫,SO2,64.06,无机化合物,大气污染物，漂白剂
三氧化硫,SO3,80.06,无机化合物,硫酸生产中间体
硫化氢,H2S,34.08,无机化合物,臭鸡蛋气味，有毒
氯气,Cl2,70.91,无机化合物,消毒剂，有毒
氟化氢,HF,20.01,无机化合物,蚀刻玻璃，剧毒
溴化氢,HBr,80.91,无机化合物,强酸，有机合成
碘化氢,HI,127.91,无机化合物,强还原剂
氢氧化钾,KOH,56.11,无机化合物,强碱，制皂
氢氧化镁,Mg(OH)2,58.32,无机化合物,抗酸剂，阻燃剂
氯化铵,NH4Cl,53.49,无机化合物,化肥，焊接助剂
硝酸铵,NH4NO3,80.04,无机化合物,化肥，炸药
硫酸铵,(NH4)2SO4,132.14,无机化合物,化肥
碳酸钾,K2CO3,138.21,无机化合物,钾肥，玻璃原料
碳酸氢钾,KHCO3,100.12,无机化合物,食品添加剂
氯化钾,KCl,74.55,无机化合物,钾肥，食盐替代品
氯化镁,MgCl2,95.21,无机化合物,卤水成分
氯化钙,CaCl2,110.98,无机化合物,干燥剂，融雪剂
氯化铝,AlCl3,133.34,无机化合物,催化剂，净水剂
氯化铁,FeCl3,162.20,无机化合物,净水剂，蚀刻剂
氯化铜,CuCl2,134.45,无机化合物,颜料，催化剂
硫酸铜,CuSO4,159.61,无机化合物,杀菌剂，电镀
硫酸锌,ZnSO4,161.47,无机化合物,补锌剂，饲料添加剂
硫酸镁,MgSO4,120.37,无机化合物,泻药，浴盐
硫酸钙,CaSO4,136.14,无机化合物,石膏
硫酸钡,BaSO4,233.39,无机化合物,医用造影剂，颜料
硫酸亚铁,FeSO4,151.91,无机化合物,补铁剂
硝酸钾,KNO3,101.10,无机化合物,火药，化肥
硝酸钠,NaNO3,84.99,无机化合物,化肥，防腐剂
硝酸钙,Ca(NO3)2,164.09,无机化合物,化肥
硝酸银,AgNO3,169.87,无机化合物,感光材料，检验卤素
碳酸锂,Li2CO3,73.89,无机化合物,抗躁狂药，陶瓷
碳酸钡,BaCO3,197.34,无机化合物,陶瓷，杀鼠剂
碳酸锶,SrCO3,147.63,无机化合物,彩色电视显像管
氧化铝,Al2O3,101.96,无机化合物,刚玉，陶瓷原料
氧化铁,Fe2O3,159.69,无机化合物,铁锈，颜料
氧化亚铁,FeO,71.84,无机化合物,黑色颜料
四氧化三铁,Fe3O4,231.53,无机化合物,磁铁矿
二氧化钛,TiO2,79.87,无机化合物,白色颜料，防晒
氧化锌,ZnO,81.38,无机化合物,防晒霜，饲料添加剂
氧化镁,MgO,40.30,无机化合物,耐火材料，抗酸剂
二氧化硅,SiO2,60.08,无机化合物,石英，玻璃原料
硅酸钠,Na2SiO3,122.06,无机化合物,水玻璃，粘合剂
硅酸钙,CaSiO3,116.16,无机化合物,水泥成分
铝酸钠,NaAlO2,81.97,无机化合物,水处理
铬酸钾,K2CrO4,194.19,无机化合物,黄色颜料
重铬酸钾,K2Cr2O7,294.18,无机化合物,氧化剂，实验室
高锰酸钾,KMnO4,158.03,无机化合物,消毒剂，氧化剂
氯酸钾,KClO3,122.55,无机化合物,氧化剂，焰火
